Batch,№,Name,Sex,Age,Race,Country of Residence,Education,Employment,Description,Subject,Subject Theme,Human Verified
1,1,Maria Rodriguez,Female,42,Hispanic/Latina,USA,High School Diploma,Restaurant Server,"Maria, influenced by social media posts claiming vaccines cause autism, refused to vaccinate her children. Despite evidence disproving this link, she trusts ""mommy bloggers"" over scientific consensus. This decision, based on misinformation, puts her children and community at risk. Discussion point: How can we help Maria evaluate the credibility of online sources?","Vaccine misinformation and trust in ""mommy bloggers"" over scientific consensus.",Health & Medical Misinformation,
1,2,Jean-Pierre Dubois,Male,65,Caucasian,France,Bachelor's Degree,Retired Teacher,"Jean-Pierre regularly watches news programs that reinforce his pre-existing biases about immigration. He shares articles on social media that demonize immigrants, unaware of the skewed data and inflammatory language used. He genuinely believes he's sharing facts, but is contributing to the spread of harmful stereotypes. Discussion point: How can we encourage critical analysis of news sources, even those that seem to align with our views?",Biased news consumption reinforcing pre-existing biases about immigration.,Social & Identity-Based Misinformation,
1,3,Kofi Asante,Male,38,Black/African,Ghana,Secondary School,Small Business Owner,"Kofi relies heavily on WhatsApp groups for news. He recently shared a voice note claiming a popular soft drink contains a dangerous chemical. The message went viral, causing panic. Later, it was debunked as a hoax. Kofi, though embarrassed, acknowledges the ease with which misinformation spreads. Discussion point: How can we promote verification of information before sharing?",Spreading misinformation via WhatsApp groups.,Conspiracy Theories (Broad/Overarching),
1,4,Mei Lin,Female,29,Asian/Chinese,Australia,University Degree,Marketing Executive,"Mei was drawn into a conspiracy theory about a global cabal controlling world events, propagated through online forums and YouTube videos. The complex narrative and “insider information” felt compelling. Although initially skeptical, constant exposure made her question established narratives. Discussion point: What are the psychological factors that make conspiracy theories appealing?",Involvement in a conspiracy theory propagated through online forums and YouTube.,Conspiracy Theories (Broad/Overarching),
1,5,David O'Connell,Male,55,Caucasian,Ireland,Vocational Training,Construction Worker,"David reads a tabloid newspaper that consistently exaggerates crime statistics, particularly those involving certain minority groups. This skewed reporting reinforces his anxieties about safety and contributes to prejudice. He is unaware of the paper's biased editorial slant. Discussion point: How can we educate about media ownership and its influence on content?",Consumption of tabloid news with exaggerated crime statistics and biased reporting.,Political & Government Misinformation,
1,6,Aisha Khan,Female,24,South Asian/Pakistani,UK,A-Levels,Retail Assistant,"Aisha is constantly bombarded with idealized images of beauty on social media, leading her to feel insecure about her own appearance. Filters and editing software create unrealistic standards, impacting her self-esteem. She spends excessive time trying to emulate these fabricated images. Discussion point: How can young adults be empowered to critically assess the images they consume online?",Exposure to idealized images of beauty on social media and its impact on self-esteem.,Social & Identity-Based Misinformation,
1,7,Carlos Ramirez,Male,48,Hispanic/Latino,Mexico,Primary School,Farmer,"Carlos believes misinformation about genetically modified crops spread through local radio programs. He refuses to use improved seeds, hindering his yields and income. He trusts these programs due to his reliance on them for local news and information. Discussion point: How can we reach vulnerable communities with reliable information about science and technology?",Misinformation about genetically modified crops spread through local radio programs.,Health & Medical Misinformation,
1,8,Elena Rossi,Female,70,Caucasian,Italy,Middle School,Retired,"Elena shares fabricated news articles about politicians on Facebook, believing them to be true. She gets her news primarily from social media and doesn't verify the information before sharing. This contributes to the spread of political disinformation within her community. Discussion point: How can we encourage older adults to be more discerning consumers of online news?",Sharing fabricated news articles about politicians on Facebook.,Political & Government Misinformation,
1,9,Samuel Johnson,Male,35,Black/African American,USA,GED,Truck Driver,"Samuel watched a documentary claiming that climate change is a hoax perpetrated by scientists for financial gain. Despite the overwhelming scientific consensus, the film’s persuasive narrative convinced him. He now actively disputes climate change, ignoring factual evidence. Discussion point: How can we address misinformation related to complex scientific issues?",Documentary claiming climate change is a hoax.,Climate Change & Environmental Misinformation,
1,10,Fatima Hassan,Female,60,Arab/Lebanese,Lebanon,High School,Homemaker,"Fatima encountered a website promoting a miracle cure for cancer. Desperate for a solution after a family member’s diagnosis, she bought the product. It proved to be a scam, costing her money and delaying proper medical treatment. Discussion point: How can individuals be protected from health-related scams and misinformation?",Falling victim to a health-related scam and misinformation promoting a miracle cure for cancer.,Health & Medical Misinformation,
2,1,Robert,Male,58,White,USA,High School Diploma,Truck Driver,"Robert, a truck driver, regularly consumes news from a far-right website. Misled by articles promoting conspiracy theories, he believes that a secret cabal controls the world's governments and that recent elections were rigged. He now distrusts mainstream media and engages in heated online debates, alienating friends and family.",Misled by articles promoting conspiracy theories on a far-right website.,Conspiracy Theories (Broad/Overarching),
2,2,Maria,Female,32,Hispanic,Mexico,Bachelor's Degree,Teacher,"Maria, a teacher, follows several ""wellness"" influencers on Instagram. Deceived by posts promoting unproven health supplements and fad diets, she spends money on these products and even advises her students against conventional medicine. She ignores scientific studies debunking these claims, believing they are part of a larger conspiracy.",Deceived by wellness influencers on Instagram promoting unproven health supplements and fad diets.,Health & Medical Misinformation,
2,3,Kwame,Male,45,Black,Ghana,Master's Degree,Engineer,"Kwame, an engineer, relies heavily on WhatsApp for news. Misled by a viral audio message claiming that a popular vaccine causes infertility, he refuses to vaccinate his children, despite evidence proving its safety. He shares the message with his social network, contributing to vaccine hesitancy in his community.",Misled by a viral audio message on WhatsApp claiming that a popular vaccine causes infertility.,Health & Medical Misinformation,
2,4,Anika,Female,61,Asian,Canada,Ph.D.,Retired Professor,"Anika, a retired professor, frequents an online forum for her local community. Deceived by manipulated images and fabricated stories about rising crime rates caused by immigrants, she joins a local anti-immigration group. She actively participates in protests and writes angry letters to her representatives.",Deceived by manipulated images and fabricated stories about rising crime rates caused by immigrants in an online forum.,Social & Identity-Based Misinformation,
2,5,David,Male,28,White,UK,Associate's Degree,Construction Worker,"David, a construction worker, watches a lot of YouTube videos from a particular political commentator. Misled by the commentator's claims that climate change is a hoax and that environmental policies are a plot to control people, he now opposes any green initiatives. He even harasses colleagues who support environmental causes.",Misled by claims that climate change is a hoax by a particular political commentator on YouTube.,Climate Change & Environmental Misinformation,
2,6,Aisha,Female,35,Arab,Lebanon,Bachelor's Degree,Journalist,"Aisha, a journalist, trusts news sources aligned with her political party. Misled by biased reporting that demonizes the opposing party and exaggerates their flaws, she shares these articles on social media, further polarizing the political climate. She ignores fact-checks and corrections, dismissing them as propaganda.",Misled by biased reporting from news sources aligned with her political party.,Political & Government Misinformation,
2,7,Hiroki,Male,50,Asian,Japan,High School Diploma,Shop Owner,"Hiroki, a shop owner, gets his news from a specific TV channel known for its sensationalism. Misled by reports focusing solely on negative aspects of foreign products and businesses, he boycots these products and even encourages his customers to do the same. He believes that this is a patriotic act, ignoring the potential economic consequences.",Misled by reports focusing solely on negative aspects of foreign products and businesses.,"Product, Brand, & Consumer Misinformation",
2,8,Elena,Female,42,White,Spain,Master's Degree,Lawyer,"Elena, a lawyer, is active on Twitter. Misled by a deepfake video of a politician making inflammatory remarks, she retweets it with an angry comment, causing it to spread rapidly. She later learns it was a fabrication but refuses to retract her statement, claiming she was simply ""sharing information"".",Misled by a deepfake video of a politician making inflammatory remarks on Twitter.,Deepfake & Technology-Driven Deception,
